---config@主码别名=主码
---config@主码-系统码表别名=系统码表
---config@主码-用户码表别名=词库
---config@主码-次显码表别名=生僻字
---config@主码-分类码表别名1=一简二重
---config@辅码别名= 拼音 
工	a
$ddcmd(牦,牦            )	cen
$ddcmd(牯,牯            )	cdg
$ddcmd(牻,牻            )	cdny
$ddcmd(牾,牾            )	cgkg
$ddcmd(牿,牿            )	ctf
$ddcmd(犄,犄            )	cds
$ddcmd(犊,犊            )	cfn
$ddcmd(犋,犋            )	ch
$ddcmd(犍,犍            )	cvg
$ddcmd(犏,犏            )	cyn
$ddcmd(犒,犒            )	cym
$ddcmd(甬,甬            )	cej
$ddcmd(畚,畚            )	cdl
$ddcmd(皴,皴            )	cwt
$ddcmd(瞀,瞀            )	cnhh
$ddcmd(矜,矜            )	cnhn
$ddcmd(矞,矞            )	cnhk
$ddcmd(蝥,蝥            )	cnhj
$ddcmd(蟊,蟊            )	cnhj
$ddcmd(迨,迨            )	ckp
$ddcmd(迳,迳            )	cap
$ddcmd(逡,逡            )	cwtp
$ddcmd(遹,遹            )	cnhp
$ddcmd(邰,邰            )	ckb
$ddcmd(鍪,鍪            )	cnhq
$ddcmd(颡,颡            )	cccm
$ddcmd(驭,驭            )	cgc
$ddcmd(驲,驲            )	cgjg
$ddcmd(驵,驵            )	cge
$ddcmd(驷,驷            )	cglg
$ddcmd(驸,驸            )	cgwf
$ddcmd(驺,驺            )	cgqv
$ddcmd(驿,驿            )	cgcg
$ddcmd(骀,骀            )	cgck
$ddcmd(骁,骁            )	cgaq
$ddcmd(骃,骃            )	cgld
$ddcmd(骅,骅            )	cgwf
$ddcmd(骈,骈            )	cgu
$ddcmd(骉,骉            )	cgcg
$ddcmd(骊,骊            )	cgg
$ddcmd(骋,骋            )	cgm
$ddcmd(骍,骍            )	cguh
$ddcmd(骎,骎            )	cgvc
$ddcmd(骐,骐            )	cgdw
$ddcmd(骒,骒            )	cgj
$ddcmd(骓,骓            )	cgwy
$ddcmd(骕,骕            )	cgvw
$ddcmd(骖,骖            )	cgce
$ddcmd(骙,骙            )	cgwd
$ddcmd(骛,骛            )	cnhg
$ddcmd(骝,骝            )	cgql
$ddcmd(骟,骟            )	cgyn
$ddcmd(骠,骠            )	cgs
$ddcmd(骢,骢            )	cgtn
$ddcmd(骣,骣            )	cgn
$ddcmd(骥,骥            )	cguw
$ddcmd(骦,骦            )	cgfh
$ddcmd(骧,骧            )	cgye
$ddcmd(鹜,鹜            )	cnhg
$ddcmd(鹬,鹬            )	cnhg
$ddcmd(𨚕,𨚕            )	cabh
$ddcmd(𫘜,𫘜            )	cgyy
$ddcmd(𫘝,𫘝            )	cgnw
$ddcmd(𫘦,𫘦            )	cgqb
$ddcmd(𫘧,𫘧            )	cgvi
$ddcmd(𫘨,𫘨            )	cgjh
